,Bam_file,CODING_BASES,CORRECT_STRAND_READS,DX,IGNORED_READS,INCORRECT_STRAND_READS,INTERGENIC_BASES,INTRONIC_BASES,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,MEDIAN_CV_COVERAGE,NUM_R1_TRANSCRIPT_STRAND_READS,NUM_R2_TRANSCRIPT_STRAND_READS,NUM_UNEXPLAINED_READS,PCT_CODING_BASES,PCT_CORRECT_STRAND_READS,PCT_INTERGENIC_BASES,PCT_INTRONIC_BASES,PCT_MRNA_BASES,PCT_R1_TRANSCRIPT_STRAND_READS,PCT_R2_TRANSCRIPT_STRAND_READS,PCT_USABLE_BASES,PCT_UTR_BASES,PF_ALIGNED_BASES,PF_BASES,RINe,TIN(mean),TIN(median),TIN(stdev),UTR_BASES,extraction,final_freeze_thaw,is_polyA
S10_numsort,S10_numsort.bam,570401229.0,168467.0,Clontech-2,0.0,16567978.0,107547946.0,70624569.0,0.550731,0.00878,0.014235,0.68388,166446.0,16549593.0,20406.0,0.547473,0.010066,0.103225,0.067786,0.828989,0.009957,0.990043,0.816046,0.281516,1041879294.0,1058404064.0,7.4,63.9064883481,66.9997371214,14.1001134728,293305550.0,polyA,5,1.0
S11_numsort,S11_numsort.bam,1119275692.0,282049.0,Clontech-2,0.0,32164149.0,192995863.0,133163654.0,0.568722,0.008836,0.016091,0.688333,278017.0,32132320.0,35861.0,0.559735,0.008693,0.096515,0.066593,0.836892,0.008578,0.991422,0.827748,0.277157,1999651734.0,2021742125.0,7.1,69.3193115508,72.668189925,12.6394789135,554216525.0,polyA,1,1.0
S12_numsort,S12_numsort.bam,783044274.0,305962.0,TD-1,0.0,25195359.0,207782005.0,222084065.0,0.531325,0.010203,0.021383,0.628005,302831.0,25172870.0,25620.0,0.441355,0.011998,0.117114,0.125175,0.757711,0.011887,0.988113,0.748258,0.316356,1774184073.0,1796596882.0,7.9,74.137079987,77.4624370787,11.8594552882,561273729.0,polyA,1,1.0
S13_numsort,S13_numsort.bam,664348046.0,267873.0,TD-1,0.0,20240662.0,145125433.0,168184656.0,0.487294,0.01162,0.02821,0.641419,263930.0,20224158.0,20447.0,0.477131,0.013062,0.104228,0.120789,0.774982,0.012882,0.987118,0.764882,0.297851,1392380623.0,1410767818.0,8.6,73.2583044915,76.3017038502,12.0703934112,414722488.0,polyA,1,1.0
S14_numsort,S14_numsort.bam,528667529.0,178279.0,Clontech-2,0.0,15329735.0,92036030.0,60841668.0,0.616503,0.009618,0.01677,0.678831,176113.0,15315028.0,16873.0,0.554714,0.011496,0.09657,0.063839,0.83959,0.011369,0.988631,0.829631,0.284877,953045624.0,964486568.0,7.0,66.3447352512,69.6217605856,13.4782713835,271500397.0,polyA,1,1.0
S15_numsort,S15_numsort.bam,335578535.0,131601.0,ASD-2,0.0,10348927.0,77214824.0,87086629.0,0.502788,0.010072,0.019989,0.648807,127608.0,10340638.0,12282.0,0.467477,0.012557,0.107564,0.121316,0.77112,0.01219,0.98781,0.761137,0.303643,717850456.0,727266311.0,9.0,71.1079407164,74.1847689576,12.40680762,217970468.0,polyA,2,1.0
S16_numsort,S16_numsort.bam,526017541.0,292798.0,ASD-1,0.0,16285027.0,110827293.0,132188513.0,0.507121,0.016276,0.039919,0.626721,289309.0,16271586.0,16930.0,0.471863,0.017662,0.099417,0.118579,0.782003,0.017469,0.982531,0.771178,0.31014,1114767533.0,1130415238.0,8.9,73.044600568,76.3069024827,12.2906492067,345734186.0,polyA,1,1.0
S17_numsort,S17_numsort.bam,496102201.0,139027.0,TD-1,0.0,15540619.0,104551186.0,120548806.0,0.470441,0.008367,0.020546,0.649034,136197.0,15527963.0,15486.0,0.472718,0.008867,0.099623,0.114867,0.78551,0.008695,0.991305,0.775896,0.312792,1049466678.0,1062471202.0,9.2,71.6729607622,74.8019300055,12.3757055195,328264485.0,polyA,1,1.0
S18_numsort,S18_numsort.bam,918698977.0,282226.0,ASD-1,0.0,28258274.0,220722160.0,245150031.0,0.521695,0.009673,0.020135,0.647994,276436.0,28235538.0,28526.0,0.465759,0.009889,0.111901,0.124285,0.763813,0.009695,0.990305,0.755129,0.298054,1972475288.0,1995161047.0,9.1,72.3803033673,75.5141736128,12.2812976648,587904120.0,polyA,2,1.0
S19_numsort,S19_numsort.bam,457884671.0,127487.0,TD-2,0.0,13995501.0,106744339.0,107298689.0,0.507353,0.007886,0.016002,0.666311,124806.0,13984435.0,13747.0,0.476366,0.009027,0.111053,0.111629,0.777318,0.008846,0.991154,0.768223,0.300952,961203844.0,972582991.0,8.9,71.7276401543,74.959816366,12.406422639,289276145.0,polyA,1,1.0
